baseline,treatment,metric,delta,ci_low,ci_high,probability_positive,bootstrap_samples,seed,stratified_by
full_query_bm25,oracle_compose_exact_not_L10,recall_at_100,-0.2724576147489603,-0.2848582429892712,-0.259961475485307,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L10,ceiling_normalized_recall_at_100,-0.31005863982425497,-0.32459190996552345,-0.29509453573030064,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L10,ndcg_at_20,-0.304275648145654,-0.31956082744069647,-0.2880156992520618,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L100,recall_at_100,-0.28230615401487524,-0.29603927093946003,-0.26830140369504835,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L100,ceiling_normalized_recall_at_100,-0.31828662798695934,-0.33433897824945075,-0.30228156954819374,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L100,ndcg_at_20,-0.3450712189579377,-0.366392315643066,-0.32318088717773336,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L1000,recall_at_100,-0.19651756806921697,-0.21350812303773606,-0.17974657989869625,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L1000,ceiling_normalized_recall_at_100,-0.2094397357147685,-0.22779887187556108,-0.19126672157070476,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L1000,ndcg_at_20,-0.11850979524795004,-0.13570058194135928,-0.10100030023822551,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L25,recall_at_100,-0.2652823038254484,-0.27727129750823054,-0.2533482022606728,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L25,ceiling_normalized_recall_at_100,-0.3026471356354312,-0.316788236802356,-0.2879711928198115,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L25,ndcg_at_20,-0.3780253456970725,-0.39879533942399953,-0.35666455752703125,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L250,recall_at_100,-0.29476778625988,-0.31198059250280835,-0.2773531512632784,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L250,ceiling_normalized_recall_at_100,-0.3279821542189204,-0.3464894754895566,-0.30899495241513786,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L250,ndcg_at_20,-0.2847056211788095,-0.30635531083059786,-0.26293461940089347,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L50,recall_at_100,-0.26020142378912786,-0.27164454470281235,-0.24849375666339169,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L50,ceiling_normalized_recall_at_100,-0.29709879313092685,-0.31082693906410075,-0.2828364978266706,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L50,ndcg_at_20,-0.36728418979755384,-0.38802687133462266,-0.3456090796857353,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L500,recall_at_100,-0.26428694932344526,-0.28147644097836527,-0.24709706798784475,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L500,ceiling_normalized_recall_at_100,-0.2916072750094561,-0.3102378887523248,-0.27287069028932737,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L500,ndcg_at_20,-0.19320255811856824,-0.2133527205348138,-0.17266008890436166,0.0,10000,20260804,template
full_query_bm25,oracle_full_verify_F1000,recall_at_100,0.08923105340297141,0.07948148519916214,0.09939572410283067,1.0,10000,20260804,template
full_query_bm25,oracle_full_verify_F1000,ceiling_normalized_recall_at_100,0.10790349893082628,0.09723355793092418,0.1189206371322617,1.0,10000,20260804,template
full_query_bm25,oracle_full_verify_F1000,ndcg_at_20,0.20577252135350904,0.19528336885554987,0.2166682258491721,1.0,10000,20260804,template
full_query_bm25,oracle_hybrid_verify_F1000_L10,recall_at_100,0.08962188854944565,0.07985838290383496,0.09980997420328849,1.0,10000,20260804,template
full_query_bm25,oracle_hybrid_verify_F1000_L10,ceiling_normalized_recall_at_100,0.10830349893082626,0.09758508172673916,0.11932453256656102,1.0,10000,20260804,template
full_query_bm25,oracle_hybrid_verify_F1000_L10,ndcg_at_20,0.20605136424636053,0.19542371258706903,0.2169778459302316,1.0,10000,20260804,template
full_query_bm25,oracle_hybrid_verify_F1000_L100,recall_at_100,0.0900720146798229,0.08036301820552838,0.10021049093485349,1.0,10000,20260804,template
full_query_bm25,oracle_hybrid_verify_F1000_L100,ceiling_normalized_recall_at_100,0.1088345680907614,0.09815273800419531,0.11981898842408269,1.0,10000,20260804,template
full_query_bm25,oracle_hybrid_verify_F1000_L100,ndcg_at_20,0.20749932269720217,0.19733821430077667,0.21817399025557468,1.0,10000,20260804,template
