method,group_type,group_value,n_queries,recall_at_5,recall_at_20,recall_at_100,ceiling_normalized_recall_at_100,ndcg_at_5,ndcg_at_20,ndcg_at_100,candidate_precision,candidate_recall,candidate_f1,candidate_jaccard,retrieved_size,candidate_size
exact_boolean_oracle,overall,all,700,0.6857582326938497,0.7829023354137109,0.9419801582231779,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.625714285714285,36.94285714285714
exact_boolean_oracle,template,_,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
exact_boolean_oracle,template,_ or _,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.95,3.95
exact_boolean_oracle,template,_ or _ or _,100,0.8733333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.75,5.75
exact_boolean_oracle,template,_ that are also _,100,0.2300283319159232,0.32011332766369277,0.7981753459189257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.97,109.46
exact_boolean_oracle,template,_ that are also _ but not _,100,0.04005075505807087,0.16020302023228347,0.7956857616433202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,99.52,128.25
exact_boolean_oracle,template,_ that are also both _ and _,100,0.6568952085496204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.19,8.19
exact_boolean_oracle,template,_ that are not _,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
exact_boolean_oracle,gold_size_bin,01-02,223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4573991031390134,1.4573991031390134
exact_boolean_oracle,gold_size_bin,03-05,138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.173913043478261,4.173913043478261
exact_boolean_oracle,gold_size_bin,06-20,159,0.7045462527565746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.59748427672956,7.59748427672956
exact_boolean_oracle,gold_size_bin,101-200,148,0.03627909147169748,0.14511636588678992,0.7255818294339497,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,139.33783783783784
exact_boolean_oracle,gold_size_bin,51-100,32,0.05120634873713063,0.20482539494852253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,97.78125,97.78125
full_query_bm25,overall,all,700,0.632498318456305,0.7330333740897099,0.83826435453972,0.8759775531213599,0.7579682050859172,0.7856536046711865,0.8017155341657242,0.035275714285714285,0.9811663805556483,0.06281700603161494,0.03520652948324951,100.0,1000.0
full_query_bm25,template,_,100,0.92,0.935,0.95,0.95,0.9168978648383113,0.9218966148075833,0.92513871224245,0.001980000000000001,0.99,0.003952095808383234,0.001980000000000001,100.0,1000.0
full_query_bm25,template,_ or _,100,0.905,0.9425,0.96,0.96,0.9161431586556356,0.9342460245399312,0.9389773912179156,0.003930000000000001,0.995,0.007828983170011874,0.003929960079840321,100.0,1000.0
full_query_bm25,template,_ or _ or _,100,0.8123333333333334,0.95,0.966,0.966,0.9453061528005962,0.9524926129904564,0.9574697129197035,0.00574,0.9983333333333333,0.011413964134954005,0.005739950049950051,100.0,1000.0
full_query_bm25,template,_ that are also _,100,0.22976713874855154,0.3186151926004747,0.7829712133809251,0.9805624136097822,0.9953828319767777,0.9919534240246015,0.9829842436808307,0.10945999999999997,1.0,0.1922210800022565,0.10945999999999997,100.0,1000.0
full_query_bm25,template,_ that are also _ but not _,100,0.001068306138387313,0.03622953713860613,0.24887926839711508,0.3152804582397366,0.024058611613769064,0.17527426773204333,0.2814520343596615,0.11664999999999999,0.9048313305562045,0.20611419898956487,0.11616579625295616,100.0,1000.0
full_query_bm25,template,_ that are also both _ and _,100,0.6493194509738628,0.9988888888888888,1.0,1.0,0.9899647083939712,0.9941942032540583,0.9946780370723672,0.008190000000000001,1.0,0.016230678158092215,0.008190000000000001,100.0,1000.0
full_query_bm25,template,_ that are not _,100,0.91,0.95,0.96,0.96,0.5180241073223597,0.5295180853496304,0.5313086076671408,0.0009800000000000004,0.98,0.0019580419580419585,0.0009800000000000004,100.0,1000.0
full_query_bm25,gold_size_bin,01-02,223,0.9237668161434978,0.9484304932735426,0.9596412556053812,0.9596412556053812,0.7462417847767502,0.7536376269276661,0.7558944070856829,0.0014394618834080723,0.9865470852017937,0.002874241482227305,0.0014394618834080723,100.0,1000.0
full_query_bm25,gold_size_bin,03-05,138,0.9181159420289855,0.9510869565217391,0.9681159420289854,0.9681159420289854,0.9305696151856674,0.9469119628702773,0.9516154159373849,0.004159420289855073,0.9963768115942029,0.008283773721530014,0.0041593913622031305,100.0,1000.0
full_query_bm25,gold_size_bin,06-20,159,0.6727376001932052,0.9741439552760307,0.9811320754716981,0.9811320754716981,0.9673149327059748,0.971696304485523,0.9740243140408258,0.007591194968553458,0.9989517819706499,0.015057985778619734,0.007591163553427704,100.0,1000.0
full_query_bm25,gold_size_bin,101-200,148,0.01663166903104854,0.08208125056138119,0.43784297968143343,0.6162162162162163,0.4717090491996105,0.5505748564864292,0.6000967912024141,0.13252702702702704,0.9462143915704292,0.2322331099562002,0.13221872074372795,100.0,1000.0
full_query_bm25,gold_size_bin,51-100,32,0.019439296003084458,0.10426399658823945,0.5745089745297457,0.5745089745297457,0.37910015867226066,0.47617782548978016,0.5509157095653732,0.09303125000000001,0.9513563469749037,0.16947086205326445,0.09294402985074628,100.0,1000.0
oracle_compose_exact_not_L10,overall,all,700,0.3855448350288549,0.5658067397907597,0.5658067397907597,0.5659189132971049,0.4054257231986964,0.4813779565255324,0.4772350911153345,0.17369629141987827,0.5658067397907597,0.20630800592661794,0.13367329913663345,8.248571428571429,8.248571428571429
oracle_compose_exact_not_L10,template,_,100,0.92,0.925,0.925,0.925,0.9168978648383113,0.9186702577061518,0.9186702577061518,0.18499999999999997,0.925,0.30833333333333335,0.18454545454545454,10.0,10.0
oracle_compose_exact_not_L10,template,_ or _,100,0.48,0.9475,0.9475,0.9475,0.48464540526410543,0.6980125368580875,0.6980125368580875,0.2400905965379649,0.9475,0.37963350725492334,0.23905135317263462,16.62,16.62
oracle_compose_exact_not_L10,template,_ or _ or _,100,0.17566666666666667,0.945,0.945,0.945,0.21363275892777384,0.586109337311441,0.586109337311441,0.28150566562340523,0.945,0.4279401098638185,0.27969132992524937,21.03,21.03
oracle_compose_exact_not_L10,template,_ that are also _,100,0.18134445410680797,0.18134445410680797,0.18134445410680797,0.18180739307973348,0.2360418793276874,0.20347029703684577,0.18791653657175836,0.2538055555555555,0.18134445410680797,0.12488305845117427,0.11515000966236352,0.88,0.88
oracle_compose_exact_not_L10,template,_ that are also _ but not _,100,0.0011777244285098379,0.0011777244285098379,0.0011777244285098379,0.0015,0.04837055198026064,0.02025755089644232,0.006811253490144316,0.13,0.0011777244285098379,0.0023309761362547018,0.0011777244285098379,0.15,0.15
oracle_compose_exact_not_L10,template,_ that are also both _ and _,100,0.010625,0.010625,0.010625,0.010625,0.01339160205273616,0.011637733768567813,0.011637733768567813,0.02,0.010625,0.011176470588235295,0.010625,0.02,0.02
oracle_compose_exact_not_L10,template,_ that are not _,100,0.93,0.95,0.95,0.95,0.925,0.9314879821011905,0.9314879821011905,0.10547222222222223,0.95,0.1898585858585858,0.10547222222222223,9.04,9.04
oracle_compose_exact_not_L10,gold_size_bin,01-02,223,0.9147982062780269,0.9260089686098655,0.9260089686098655,0.9260089686098655,0.911164961810902,0.914869165832889,0.914869165832889,0.18577478824115595,0.9260089686098655,0.28269692440096034,0.1855709561987589,8.856502242152466,8.856502242152466
oracle_compose_exact_not_L10,gold_size_bin,03-05,138,0.39420289855072466,0.8532608695652174,0.8532608695652174,0.8532608695652174,0.40708566788840195,0.6188164407490551,0.6188164407490551,0.21949357545787018,0.8532608695652174,0.3455553176967957,0.21853086541686267,15.528985507246377,15.528985507246377
oracle_compose_exact_not_L10,gold_size_bin,06-20,159,0.07062368972746332,0.45007861635220126,0.45007861635220126,0.45007861635220126,0.08798210349598788,0.27156787402792476,0.27156787402792476,0.1438334138550373,0.45007861635220126,0.20873191778955913,0.1369780432846626,10.20754716981132,10.20754716981132
oracle_compose_exact_not_L10,gold_size_bin,101-200,148,0.0014289090916110145,0.0014289090916110145,0.0014289090916110145,0.00195945945945946,0.062228217907023146,0.026061130994760085,0.008762607600129117,0.16216216216216217,0.0014289090916110145,0.002830492693697411,0.0014289090916110145,0.19594594594594594,0.19594594594594594
oracle_compose_exact_not_L10,gold_size_bin,51-100,32,0.001273103374167204,0.001273103374167204,0.001273103374167204,0.001273103374167204,0.0384833400173555,0.016116793940759856,0.00549728379284882,0.09375,0.001273103374167204,0.0025083849329205366,0.001273103374167204,0.125,0.125
oracle_compose_exact_not_L100,overall,all,700,0.3790390933183403,0.3988153433819876,0.5559582005248448,0.5576909251344004,0.49303384413106927,0.4405823857132487,0.4475150946919326,0.18957512208221572,0.5863867719534163,0.054174920463364425,0.034386613335733916,58.84,77.73
oracle_compose_exact_not_L100,template,_,100,0.92,0.935,0.95,0.95,0.9168978648383113,0.9218966148075833,0.92513871224245,0.019,0.95,0.0372549019607843,0.018996039603960395,100.0,100.0
oracle_compose_exact_not_L100,template,_ or _,100,0.4325,0.475,0.955,0.955,0.4255241546609014,0.44656769905029436,0.5711608177397904,0.02811900910452363,0.965,0.05449154933911194,0.028111541156423784,100.0,152.34
oracle_compose_exact_not_L100,template,_ or _ or _,100,0.12533333333333332,0.16799999999999998,0.763,0.763,0.14905156538831307,0.1651187531153086,0.3385137167246481,0.03643721539111737,0.966,0.06985306350565494,0.036421678835970764,100.0,179.89
oracle_compose_exact_not_L100,template,_ that are also _,100,0.20151504931394526,0.2053193348841733,0.2053193348841733,0.2112300826123187,0.5345811981190598,0.3598412303859668,0.24718448415270994,0.5436580473631669,0.2053193348841733,0.1198889061449503,0.0989773822473402,10.18,10.18
oracle_compose_exact_not_L100,template,_ that are also _ but not _,100,0.015882840788673174,0.020345638997310206,0.020345638997310206,0.026563963536054846,0.44371504551384733,0.21393280837345596,0.07207791175599741,0.57,0.020345638997310206,0.03879062811077407,0.020345638997310206,2.65,2.65
oracle_compose_exact_not_L100,template,_ that are also both _ and _,100,0.028042429792429796,0.028042429792429796,0.028042429792429796,0.028042429792429796,0.05646708039705202,0.042340963895762224,0.042340963895762224,0.12,0.028042429792429796,0.039518759018759016,0.028042429792429796,0.15,0.15
oracle_compose_exact_not_L100,template,_ that are not _,100,0.93,0.96,0.97,0.97,0.925,0.9343786303643695,0.93618905633217,0.009811582716702254,0.97,0.019426635163516347,0.009811582716702254,98.9,98.9
oracle_compose_exact_not_L100,gold_size_bin,01-02,223,0.92152466367713,0.9417040358744395,0.952914798206278,0.952914798206278,0.9183988057246484,0.9248460614796445,0.9271117670413788,0.059403421560479445,0.952914798206278,0.07353398186033322,0.05715949313176214,92.81614349775785,92.81614349775785
