baseline,treatment,metric,delta,ci_low,ci_high,probability_positive,bootstrap_samples,seed,stratified_by
full_query_bm25,oracle_compose_exact_not_L10,recall_at_100,-0.2712708159268935,-0.2836309873802962,-0.2589296684174214,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L10,ceiling_normalized_recall_at_100,-0.3088916945355012,-0.32334919338668894,-0.2939779652862785,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L10,ndcg_at_20,-0.3032424598787338,-0.3183544741652759,-0.28698827760995393,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L100,recall_at_100,-0.25567333259409547,-0.2672709993438856,-0.243738546210542,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L100,ceiling_normalized_recall_at_100,-0.29176771850122096,-0.3057490772368089,-0.2772696045840552,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L100,ndcg_at_20,-0.3473150347117266,-0.3683718091486852,-0.3255479669984486,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L1000,recall_at_100,-0.1977225847883589,-0.21471454279874996,-0.18106109518616326,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L1000,ceiling_normalized_recall_at_100,-0.21081979999400727,-0.22924252445008653,-0.19264106680432788,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L1000,ndcg_at_20,-0.11877151924783752,-0.13591255470117916,-0.101299774608593,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L25,recall_at_100,-0.2642156257320832,-0.2760143285712726,-0.2522405315784161,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L25,ceiling_normalized_recall_at_100,-0.3015620074760763,-0.31567788437712724,-0.2870013812507902,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L25,ndcg_at_20,-0.37692508709181743,-0.39768178715779856,-0.35541719449579134,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L250,recall_at_100,-0.29535184640857964,-0.3125683774746381,-0.2778512136096433,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L250,ceiling_normalized_recall_at_100,-0.3287528880080058,-0.3475954633638661,-0.30979421615671526,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L250,ndcg_at_20,-0.28949314998156606,-0.3106029687586564,-0.26784424196787787,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L50,recall_at_100,-0.25902269519969356,-0.27024767612768663,-0.24740591293955527,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L50,ceiling_normalized_recall_at_100,-0.29594913584376953,-0.3095494897026169,-0.28173529096556105,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L50,ndcg_at_20,-0.36722173685573345,-0.38788787948097897,-0.34542309518890846,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L500,recall_at_100,-0.2663564681155177,-0.2836729630768455,-0.24895044740758235,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L500,ceiling_normalized_recall_at_100,-0.2939483373224966,-0.3125803568673124,-0.27512049021704404,0.0,10000,20260804,template
full_query_bm25,oracle_compose_exact_not_L500,ndcg_at_20,-0.1938116287783555,-0.21381554125975838,-0.17329511089092825,0.0,10000,20260804,template
full_query_bm25,oracle_full_verify_F1000,recall_at_100,0.09056523849033794,0.08069012646707514,0.1007913652369976,1.0,10000,20260804,template
full_query_bm25,oracle_full_verify_F1000,ceiling_normalized_recall_at_100,0.1092320703593977,0.09849870721108818,0.12039375588233833,1.0,10000,20260804,template
full_query_bm25,oracle_full_verify_F1000,ndcg_at_20,0.20610050999037074,0.1956245439011372,0.21691995416025456,1.0,10000,20260804,template
full_query_bm25,oracle_hybrid_verify_F1000_L10,recall_at_100,0.09096788001225492,0.08099670624587843,0.10123571105387778,1.0,10000,20260804,template
full_query_bm25,oracle_hybrid_verify_F1000_L10,ceiling_normalized_recall_at_100,0.10964635607368342,0.09890546000622773,0.12086603825888861,1.0,10000,20260804,template
full_query_bm25,oracle_hybrid_verify_F1000_L10,ndcg_at_20,0.20658226722555603,0.19597574136031545,0.21750265665672408,1.0,10000,20260804,template
full_query_bm25,oracle_hybrid_verify_F1000_L100,recall_at_100,0.09141265380038142,0.08153695359669232,0.10164772357674726,1.0,10000,20260804,template
full_query_bm25,oracle_hybrid_verify_F1000_L100,ceiling_normalized_recall_at_100,0.11017742523361856,0.09948798685863137,0.12131016788743934,1.0,10000,20260804,template
full_query_bm25,oracle_hybrid_verify_F1000_L100,ndcg_at_20,0.20766142290056386,0.19739720363275398,0.21838545721832756,1.0,10000,20260804,template
full_query_bm25,oracle_hybrid_verify_F1000_L1000,recall_at_100,0.09868282336466672,0.08818568225767222,0.10965865562979919,1.0,10000,20260804,template
full_query_bm25,oracle_hybrid_verify_F1000_L1000,ceiling_normalized_recall_at_100,0.11816881780439256,0.10693106421167671,0.1297905930734463,1.0,10000,20260804,template
