method,group_type,group_value,n_queries,recall_at_5,recall_at_20,recall_at_100,ceiling_normalized_recall_at_100,ndcg_at_5,ndcg_at_20,ndcg_at_100,candidate_precision,candidate_recall,candidate_f1,candidate_jaccard,retrieved_size,candidate_size
exact_boolean_oracle,overall,all,700,0.6857582326938497,0.7829023354137109,0.9419801582231779,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.625714285714285,36.94285714285714
exact_boolean_oracle,template,_,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
exact_boolean_oracle,template,_ or _,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.95,3.95
exact_boolean_oracle,template,_ or _ or _,100,0.8733333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.75,5.75
exact_boolean_oracle,template,_ that are also _,100,0.2300283319159232,0.32011332766369277,0.7981753459189257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.97,109.46
exact_boolean_oracle,template,_ that are also _ but not _,100,0.04005075505807087,0.16020302023228347,0.7956857616433202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,99.52,128.25
exact_boolean_oracle,template,_ that are also both _ and _,100,0.6568952085496204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.19,8.19
exact_boolean_oracle,template,_ that are not _,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
exact_boolean_oracle,gold_size_bin,01-02,223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4573991031390134,1.4573991031390134
exact_boolean_oracle,gold_size_bin,03-05,138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.173913043478261,4.173913043478261
exact_boolean_oracle,gold_size_bin,06-20,159,0.7045462527565746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.59748427672956,7.59748427672956
exact_boolean_oracle,gold_size_bin,101-200,148,0.03627909147169748,0.14511636588678992,0.7255818294339497,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,139.33783783783784
exact_boolean_oracle,gold_size_bin,51-100,32,0.05120634873713063,0.20482539494852253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,97.78125,97.78125
full_query_bm25,overall,all,700,0.6324880409640131,0.7325469061212275,0.8369301694523535,0.8746489816927884,0.7577106562488753,0.7853256160343247,0.8012878530928151,0.035275714285714285,0.9811663805556483,0.06281700603161494,0.03520652948324951,100.0,1000.0
full_query_bm25,template,_,100,0.92,0.935,0.945,0.945,0.9168978648383113,0.9218600833457177,0.9240707428049874,0.001980000000000001,0.99,0.003952095808383234,0.001980000000000001,100.0,1000.0
full_query_bm25,template,_ or _,100,0.905,0.9425,0.9575,0.9575,0.9158010002947692,0.9338176427421829,0.9378295636497037,0.003930000000000001,0.995,0.007828983170011874,0.003929960079840321,100.0,1000.0
full_query_bm25,template,_ or _ or _,100,0.8123333333333334,0.9466666666666665,0.9640000000000001,0.9640000000000001,0.9451575200772925,0.9508702236430387,0.9565424868790008,0.00574,0.9983333333333333,0.011413964134954005,0.005739950049950051,100.0,1000.0
full_query_bm25,template,_ that are also _,100,0.22969519630250837,0.3185432501544315,0.7831319177693594,0.9807624136097821,0.9940707812016543,0.9917543683908937,0.9831426875123788,0.10945999999999997,1.0,0.1922210800022565,0.10945999999999997,100.0,1000.0
full_query_bm25,template,_ that are also _ but not _,100,0.001068306138387313,0.03622953713860613,0.24887926839711508,0.3152804582397366,0.024058611613769064,0.17527426773204333,0.28145240828142026,0.11664999999999999,0.9048313305562045,0.20611419898956487,0.11616579625295616,100.0,1000.0
full_query_bm25,template,_ that are also both _ and _,100,0.6493194509738628,0.9988888888888888,1.0,1.0,0.9899647083939712,0.9941846410367658,0.9946684748550748,0.008190000000000001,1.0,0.016230678158092215,0.008190000000000001,100.0,1000.0
full_query_bm25,template,_ that are not _,100,0.91,0.95,0.96,0.96,0.5180241073223597,0.5295180853496304,0.5313086076671408,0.0009800000000000004,0.98,0.0019580419580419585,0.0009800000000000004,100.0,1000.0
full_query_bm25,gold_size_bin,01-02,223,0.9237668161434978,0.9484304932735426,0.9573991031390134,0.9573991031390134,0.7462417847767502,0.7536212451062017,0.7554154970240402,0.0014394618834080723,0.9865470852017937,0.002874241482227305,0.0014394618834080723,100.0,1000.0
full_query_bm25,gold_size_bin,03-05,138,0.9181159420289855,0.9510869565217391,0.9648550724637681,0.9648550724637681,0.9303216743444599,0.9466015412777062,0.950371781807876,0.004159420289855073,0.9963768115942029,0.008283773721530014,0.0041593913622031305,100.0,1000.0
full_query_bm25,gold_size_bin,06-20,159,0.6727376001932052,0.9720475192173305,0.9811320754716981,0.9811320754716981,0.9672214530057837,0.9706699198536297,0.9737926154700809,0.007591194968553458,0.9989517819706499,0.015057985778619734,0.007591163553427704,100.0,1000.0
full_query_bm25,gold_size_bin,101-200,148,0.01658305927020856,0.0820326408005412,0.4379515637276728,0.6163513513513514,0.4708225284056082,0.5504403594366266,0.6002010889445863,0.13252702702702704,0.9462143915704292,0.2322331099562002,0.13221872074372795,100.0,1000.0
full_query_bm25,gold_size_bin,51-100,32,0.019439296003084458,0.10426399658823945,0.5745089745297457,0.5745089745297457,0.37910015867226066,0.47617782548978016,0.55092963798691,0.09303125000000001,0.9513563469749037,0.16947086205326445,0.09294402985074628,100.0,1000.0
oracle_compose_exact_not_L10,overall,all,700,0.38539744876355536,0.5654212582873649,0.56565935352546,0.5657572871572871,0.40287627555503425,0.48208315615559083,0.47860678945994095,0.1648080947085608,0.56565935352546,0.20255472865488072,0.13036153240588227,8.382857142857143,8.382857142857143
oracle_compose_exact_not_L10,template,_,100,0.92,0.925,0.925,0.925,0.9168978648383113,0.9186702577061518,0.9186702577061518,0.18499999999999997,0.925,0.30833333333333335,0.18454545454545454,10.0,10.0
oracle_compose_exact_not_L10,template,_ or _,100,0.48,0.9475,0.9475,0.9475,0.48464540526410543,0.7025025441858007,0.7025025441858007,0.2327129741603426,0.9475,0.37112090221290656,0.23167373079501224,16.91,16.91
oracle_compose_exact_not_L10,template,_ or _ or _,100,0.17566666666666667,0.9433333333333335,0.945,0.945,0.21363275892777384,0.5942470080957811,0.5949159553025142,0.26611035546624967,0.945,0.41127042881321735,0.2643627334891553,21.78,21.78
oracle_compose_exact_not_L10,template,_ that are also _,100,0.18100867223552608,0.18100867223552608,0.18100867223552608,0.18140101010101006,0.22372721052213357,0.1983129229758026,0.1861608561669038,0.2243611111111111,0.18100867223552608,0.12510774943916506,0.11536978334663718,0.8,0.8
oracle_compose_exact_not_L10,template,_ that are also _ but not _,100,0.001106802442694235,0.001106802442694235,0.001106802442694235,0.0014000000000000002,0.04623068933291537,0.019361378024408883,0.0065099307570254585,0.13,0.001106802442694235,0.002192100926956957,0.001106802442694235,0.14,0.14
oracle_compose_exact_not_L10,template,_ that are also both _ and _,100,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
oracle_compose_exact_not_L10,template,_ that are not _,100,0.93,0.95,0.95,0.95,0.925,0.9314879821011905,0.9314879821011905,0.10547222222222223,0.95,0.1898585858585858,0.10547222222222223,9.04,9.04
oracle_compose_exact_not_L10,gold_size_bin,01-02,223,0.9147982062780269,0.9260089686098655,0.9260089686098655,0.9260089686098655,0.911164961810902,0.914869165832889,0.914869165832889,0.1860239162929746,0.9260089686098655,0.28309552928387016,0.18582008425057753,8.838565022421525,8.838565022421525
oracle_compose_exact_not_L10,gold_size_bin,03-05,138,0.39420289855072466,0.8532608695652174,0.8532608695652174,0.8532608695652174,0.40708566788840195,0.6234025738503092,0.6234025738503092,0.21142135991873595,0.8532608695652174,0.3362953763598588,0.21047109542420045,15.876811594202898,15.876811594202898
oracle_compose_exact_not_L10,gold_size_bin,06-20,159,0.07023060796645703,0.44863731656184486,0.449685534591195,0.449685534591195,0.08584902044395257,0.27449937130072655,0.27492009281439517,0.13022758046461422,0.449685534591195,0.2001910136160495,0.12929959282941567,10.553459119496855,10.553459119496855
oracle_compose_exact_not_L10,gold_size_bin,101-200,148,0.0012259895791960915,0.0012259895791960915,0.0012259895791960915,0.0016891891891891893,0.05475326560961579,0.02293062657804386,0.007710029268065524,0.14864864864864866,0.0012259895791960915,0.002430123238017427,0.0012259895791960915,0.16891891891891891,0.16891891891891891
oracle_compose_exact_not_L10,gold_size_bin,51-100,32,0.0009406565656565656,0.0009406565656565656,0.0009406565656565656,0.0009406565656565656,0.027884583602554993,0.011678042702208064,0.003937323772475966,0.0625,0.0009406565656565656,0.0018504901960784315,0.0009406565656565656,0.09375,0.09375
oracle_compose_exact_not_L100,overall,all,700,0.3788879143861355,0.3984949320963532,0.581256836858258,0.5828812631915674,0.4900126556358231,0.4380105813225981,0.45430866578729745,0.19194078871958828,0.5849949320963532,0.051781803707128454,0.03357476190802434,58.58857142857143,81.89
oracle_compose_exact_not_L100,template,_,100,0.92,0.935,0.945,0.945,0.9168978648383113,0.9218600833457177,0.9240707428049874,0.0189,0.945,0.03705882352941175,0.018895049504950495,100.0,100.0
oracle_compose_exact_not_L100,template,_ or _,100,0.4325,0.475,0.955,0.955,0.42073694602561545,0.44160767499519066,0.5660440509990794,0.02504330957545028,0.9625,0.048746444916444344,0.02503509535869372,100.0,162.17
oracle_compose_exact_not_L100,template,_ or _ or _,100,0.12533333333333332,0.16799999999999998,0.9473333333333334,0.9473333333333334,0.15068705504494864,0.16694906300340684,0.39725731718982343,0.030476869246664196,0.966,0.05892894302095969,0.030463321603050014,100.0,200.94
oracle_compose_exact_not_L100,template,_ that are also _,100,0.20089671745139867,0.20403833623172749,0.20403833623172749,0.20952804179599216,0.5214247135942647,0.3502153615385151,0.24394495418293602,0.5493563035758602,0.20403833623172749,0.12175741258997418,0.10339463980758763,8.53,8.53
oracle_compose_exact_not_L100,template,_ that are also _ but not _,100,0.015442920125786892,0.01938375865031565,0.01938375865031565,0.025265037419216353,0.4388749295505694,0.20872229211522458,0.07033347875661398,0.59,0.01938375865031565,0.037040583187159,0.01938375865031565,2.52,2.52
oracle_compose_exact_not_L100,template,_ that are also both _ and _,100,0.028042429792429796,0.028042429792429796,0.028042429792429796,0.028042429792429796,0.05646708039705202,0.042340963895762224,0.042340963895762224,0.12,0.028042429792429796,0.039518759018759016,0.028042429792429796,0.15,0.15
oracle_compose_exact_not_L100,template,_ that are not _,100,0.93,0.96,0.97,0.97,0.925,0.9343786303643695,0.93616915268188,0.009809038639143038,0.97,0.019421659687191128,0.009809038639143038,98.92,98.92
oracle_compose_exact_not_L100,gold_size_bin,01-02,223,0.92152466367713,0.9417040358744395,0.9506726457399103,0.9506726457399103,0.9183988057246484,0.9248296796581802,0.9266239315760189,0.06191270951345436,0.9506726457399103,0.07534718377984272,0.05966833709414965,92.16143497757848,92.16143497757848
